X,Y,incident_id,department,commune,incident_date,details,incident_type_id,gang_affiliations,icon_url
-72.104885,18.833483,981,Centre,Mirebalais,2025/09/15 20:34:00-04,b'Clash between gang and police',1,[ 18 ],./0.png
-72.311123,18.489823,1009,West,Petion-Ville,2025/09/18 19:00:00-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.261045,18.525399,1010,West,Petion-Ville,2025/09/18 19:45:00-04,"b'lots of shooting at Metivier, Kago and the tunnel area / route des Freres / Clash between gang and  police helped by armed population.'",1,[ 18 ],./0.png
-72.387749,18.985455,377,Artibonite,Verrettes,2025/06/23 19:53:00-04,b'Armed men in are',4,,./0.png
-72.301186,18.574562,389,West,Tabarre,2025/06/24 20:35:00-04,b'Armed individuals driving a blue car killed (shooting) many people close to MSPP',4,,./0.png
-72.29477,18.587803,390,West,Tabarre,2025/06/25 12:35:21.698-04,b'Armed men with a long rifle standing at the intersection',4,,./0.png
-72.2676104307174,18.5302151124346,391,West,Petion-Ville,2025/06/25 13:30:00.043-04,b'Political protest at the CSPJ. Police on site',6,,./0.png
-72.316247,18.532587,402,West,Port-au-Prince,2025/06/27 07:40:00.385-04,b'Armed members of the population blocked all entrances to Canape Vert throughout the day and shots were fired into the air several times.',6,,./0.png
-72.316679,18.554515,403,West,Delmas,2025/06/27 10:53:00.676-04,b'Gang activity in progress between Delmas 11 & 13',4,,./0.png
-72.300679,18.530533,405,West,Petion-Ville,2025/06/27 12:08:00.767-04,b'Burning tires at the corner of Delma 60 and John Brown.',7,,./0.png
-72.34004,18.54455,408,West,Port-au-Prince,2025/06/27 14:02:00.629-04,,1,,./0.png
-72.311299,18.55704,1050,West,Delmas,2025/09/22 12:31:00.265-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.311327,18.557109,1051,West,Delmas,2025/09/22 15:46:00.067-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.311319,18.556958,1057,West,Delmas,2025/09/23 20:46:00-04,b'Armed men in area.',4,[ 18 ],./0.png
-72.312578,18.579944,1081,West,Delmas,2025/09/27 11:02:00.649-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.282572,18.455941,1085,West,Kenscoff,2025/09/27 20:05:00-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.104095,18.833792,1089,Centre,Mirebalais,2025/09/28 12:16:00.383-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.389568,18.991864,1100,Artibonite,Verrettes,2025/09/29 13:51:00.360-04,b'Clash between gang and police helped by armed population.',1,[ 18 ],./0.png
-72.311334,18.557058,1104,West,Delmas,2025/10/01 09:06:00.269-04,b'Clash between gang and police .  ',1,[ 18 ],./0.png
-72.101606,18.834068,1122,Centre,Mirebalais,2025/10/04 08:00:00-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.10516,18.834358,1162,Centre,Mirebalais,2025/10/09 11:55:00.406-04,b'Gang activity in progress',1,[ 18 ],./0.png
-72.103615,18.831923,1179,Centre,Mirebalais,2025/10/12 08:15:00-04,b'Clash between gang and armed population.',1,[ 18 ],./0.png
-72.103168,18.833086,1181,Centre,Mirebalais,2025/10/12 09:54:00-04,"b'Clash between gang and police helped by armed population. Throughout the day, gang members carried out attacks in several districts of the city, causing several casualties, including two police officers'",1,[ 18 ],./0.png
-72.307102,18.906156,1217,Artibonite,La Chapelle,2025/10/17 11:03:00.547-04,b'Clash between gang and armed population.',1,[ 18 ],./0.png
-71.941601,18.825407,1224,Centre,Lascahobas,2025/10/18 10:00:00.263-04,b'Clash between gang and police helped by armed population.',1,[ 18 ],./0.png
-71.936726,18.827631,1225,Centre,Lascahobas,2025/10/18 12:08:00.366-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-71.941541,18.826202,1227,Centre,Lascahobas,2025/10/18 13:30:00.260-04,b'Clash between gang and police.',1,[ 18 ],./0.png
-72.329109,18.534582,1237,West,Port-au-Prince,2025/10/20 13:02:00.673-04,"b'Following gang attacks in Turgeau area, members of the Canap\xc3\x83\xc2\xa9 Vert militia closed several roads to prevent gang members from passing.'",1,[ 18 ],./0.png
-72.2635,18.57719,1291,West,Tabarre,2025/10/29 11:44:00.700-04,b'Confrontation between gang and police.',1,[ 18 ],./0.png
-72.324412,18.529928,362,West,Port-au-Prince,2025/06/22 08:31:00.358-04,,1,"[ 4, 18 ]",./0.png
-72.336355,18.541669,385,West,Port-au-Prince,2025/06/25 08:52:00.460-04,b'Confrontation between armed gangs and police',1,"[ 4, 18 ]",./0.png
-72.338056,18.534167,392,West,Port-au-Prince,2025/06/25 14:30:00.469-04,b'Confrontation between armed gangs and the police',1,"[ 4, 18 ]",./0.png
-72.338512,18.530185,393,West,Port-au-Prince,2025/06/25 16:55:00.842-04,b'Confrontation between armed gangs and police',1,"[ 4, 18 ]",./0.png
-72.657695,19.43941,384,Artibonite,Gonaives,2025/06/25 08:00:00.309-04,b'Fuel tanker burning',4,,./0.png
-72.215847,18.612165,421,West,Croix-Des-Bouquets,2025/07/01 12:01:00.101-04,b'Armed men in the area',4,,./0.png
-72.227829,18.576503,437,West,Croix-Des-Bouquets,2025/07/04 07:23:00.368-04,b'Armed men in the area',4,,./0.png
-72.312501,18.580286,468,West,Tabarre,2025/07/08 11:39:00.719-04,b'Armed men in the area',4,,./0.png
-72.3129408370005,18.5798022850162,469,West,Delmas,2025/07/08 12:02:00.958-04,b'Armed men in the ara',4,,./0.png
-72.286331,18.449739,472,West,Kenscoff,2025/07/09 09:51:00-04,,1,,./0.png
-72.3370769619941,18.542706623854,395,West,Port-au-Prince,2025/06/25 21:45:00.410-04,b'Confrontation between armed gangs and the police',1,"[ 4, 18 ]",./0.png
-72.3385565,18.5303105,396,West,Port-au-Prince,2025/06/26 07:59:52.358-04,b'Confrontation between armed gangs and the police / area Brigade',1,"[ 4, 18 ]",./0.png
-72.338056,18.534167,398,West,Port-au-Prince,2025/06/26 19:00:00.674-04,b'Confrontation between armed gang and the police',1,"[ 4, 18 ]",./0.png
